Sender: LSF System <lsfadmin@c-195-34>
Subject: Job 974030: <python Bayes_MAP.py --MAP> in cluster <killdevil> Done

Job <python Bayes_MAP.py --MAP> was submitted from host <killdevil-login2> by user <wcstrick> in cluster <killdevil>.
Job was executed on host(s) <12*c-195-34>, in queue <week>, as user <wcstrick> in cluster <killdevil>.
</nas02/home/w/c/wcstrick> was used as the home directory.
</nas02/home/w/c/wcstrick/Parasitoids_h_2/analytic> was used as the working directory.
Started at Mon Aug  8 12:29:23 2016
Results reported on Tue Aug  9 02:09:49 2016

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
python Bayes_MAP.py --MAP
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   421153.84 sec.
15.8 sec./model at 13:46:38 08/08/2016
15.8 sec./model at 13:46:53 08/08/2016
15.8 sec./model at 13:47:09 08/08/2016
15.8 sec./model at 13:47:25 08/08/2016
15.8 sec./model at 13:47:41 08/08/2016
15.8 sec./model at 13:47:57 08/08/2016
15.8 sec./model at 13:48:12 08/08/2016
15.8 sec./model at 13:48:28 08/08/2016
15.8 sec./model at 13:48:44 08/08/2016
15.8 sec./model at 13:49:00 08/08/2016
15.8 sec./model at 13:49:16 08/08/2016
15.8 sec./model at 13:49:32 08/08/2016
15.8 sec./model at 13:49:47 08/08/2016
15.8 sec./model at 13:50:03 08/08/2016
15.8 sec./model at 13:50:19 08/08/2016
15.8 sec./model at 13:50:35 08/08/2016
15.8 sec./model at 13:50:51 08/08/2016
15.8 sec./model at 13:51:06 08/08/2016
15.8 sec./model at 13:51:22 08/08/2016
BndsErr caught. at 13:51:25 08/08/2016
20.5 sec./model at 13:51:45 08/08/2016
15.8 sec./model at 13:52:01 08/08/2016
18.0 sec./model at 13:52:19 08/08/2016
BndsErr caught. at 13:52:24 08/08/2016
17.9 sec./model at 13:52:42 08/08/2016
15.6 sec./model at 13:52:58 08/08/2016
20.0 sec./model at 13:53:18 08/08/2016
BndsErr caught. at 13:53:23 08/08/2016
BndsErr caught. at 13:53:31 08/08/2016
29.4 sec./model at 13:54:00 08/08/2016
20.0 sec./model at 13:54:20 08/08/2016
15.5 sec./model at 13:54:36 08/08/2016
BndsErr caught. at 13:54:41 08/08/2016
17.7 sec./model at 13:54:59 08/08/2016
15.5 sec./model at 13:55:14 08/08/2016
15.5 sec./model at 13:55:30 08/08/2016
15.5 sec./model at 13:55:45 08/08/2016
15.5 sec./model at 13:56:01 08/08/2016
15.5 sec./model at 13:56:16 08/08/2016
15.5 sec./model at 13:56:32 08/08/2016
15.5 sec./model at 13:56:47 08/08/2016
15.5 sec./model at 13:57:03 08/08/2016
15.5 sec./model at 13:57:18 08/08/2016
15.5 sec./model at 13:57:34 08/08/2016
15.5 sec./model at 13:57:49 08/08/2016
15.5 sec./model at 13:58:05 08/08/2016
15.5 sec./model at 13:58:20 08/08/2016
15.5 sec./model at 13:58:36 08/08/2016
21.4 sec./model at 13:58:57 08/08/2016
18.3 sec./model at 13:59:16 08/08/2016
15.5 sec./model at 13:59:31 08/08/2016
16.6 sec./model at 13:59:48 08/08/2016
17.3 sec./model at 14:00:05 08/08/2016
15.5 sec./model at 14:00:21 08/08/2016
19.9 sec./model at 14:00:41 08/08/2016
15.5 sec./model at 14:00:56 08/08/2016
15.5 sec./model at 14:01:12 08/08/2016
15.5 sec./model at 14:01:27 08/08/2016
15.5 sec./model at 14:01:43 08/08/2016
15.5 sec./model at 14:01:58 08/08/2016
15.5 sec./model at 14:02:14 08/08/2016
15.5 sec./model at 14:02:29 08/08/2016
